# Class B (Development Banks),,,,,
# * indicates the joint operation date after merger,,,,,
"# Paid up capital based on Financial Statement of Mid Jan, 2021",,,,,
SN,Name,Operation Date (A.D.),Head Office,Paid up Capital,Working Area
1,Narayani Development Bank Ltd.,2001/10/17,"Ratna Nagar, Chitawan",5.56,"1-3 District Level (Nawalparasi, Chitwan, Makawanpur)"
2,Karnali  Development Bank Ltd.,2004/02/18,"Nepalgunj, Banke",50.28,"1-3 District Level (Banke, Bardiya, Dang)"
3,Excel Development Bank Ltd.,2005/07/21,"Birtamod, Jhapa",81.11,"1-5 District Level (Ilam, Jhapa, Morang, Sunsari, Panchthar)"
4,Miteri Development Bank Ltd.,2006/10/13,"Dharan, Sunsari",79.74,"1-5 District Level (Jhapa, Morang, Sunsari,Dhankuta, Udaypur)"
5,Muktinath Bikas Bank Ltd.,2007/01/03,"Kamaladi, Kathmandu",481.16,National Level
6,Corporate Development Bank Ltd.,2007/11/07,"Birgunj, Parsa",41,"1-3 District Level (Parsa, Makawanpur, Kavrepalanchowk)"
7,Sindhu Bikas Bank Ltd.,2010/09/09,"Barhabise, Sindhupalchowk",55.75,"1-5 District Level (Sindhupalchowk, Kavre, Dolkha, Makawanpur, Chitwan)"
8,Sahara Bikas Bank Ltd.,2010/10/27,"Malangawa, Sarlahi",16.34,1 District Level (Sarlahi)
9,Salapa Bikash Bank Ltd.,2012/07/16,"Diktel, Khotang",2.8,1 District Level (Khotang)
10,Green Development Bank Ltd.,2013/08/25,"Pokhara, Kaski",50,"1-5 District Level (Baglung, Myagdi, Kaski, Tanahu, Nawalparasi East)"
11,Sangrila Development Bank Ltd.,2014/07/13*,"Baluwatar, Kathmandu",260.66,National Level
12,Shine Resunga Development Bank Ltd.,2013/03/17*,"Butawal, Rupandehi",340.85,National Level
13,Jyoti Bikas Bank Ltd.,2016/08/12*,"Kamaladi, Kathmandu",349.53,National Level
14,Garima Bikas Bank Ltd.,2016/09/20*,"Lazimpat, Kathmandu",323.87,National Level
15,Mahalaxmi Bikas Bank Ltd.,2017/7/2*,"Durbar Marg, Kathmandu",307.21,National Level
16,Lumbini Bikas Bank Ltd.,2017/7/9*,"Dillibazar,  Kathmandu",290.65,National Level
17,Kamana Sewa Bikas Bank Ltd.,2017/8/4*,"Gyaneshwor, Kathmandu",254.02,National Level
18,Saptakoshi Development Bank Ltd.,2019/07/07*,"Dhankuta , Koshi",83.43,"1-7 District Level (Morang, Ilam, Panchthar, Jhapa, Sunsari, Dhankuta, Terhathum)"
19,Tinau Mission Development Bank Ltd.,2006/11/01,"Butwal, Rupandehi",181.31,"1-7 District Level (Rupandehi, Nawalparasi East, Nawalparasi West, Chitwan, Palpa, Dang, Kapilvastu)"
